Sample ,Site,Lat,Lon,Elevation,State,Label,In_phased_data,Region,Phrapl_region,In_unphased_data,fine_region
FW535_petiolaris,158,29.26644598,-114.02414,899.225098,BAJA,FW535_BAJA,1,North,NORTH,1,BAJA
FW536_petiolaris,158,29.26644598,-114.02414,899.225098,BAJA,FW536_BAJA,1,North,NORTH,1,BAJA
FW537_petiolaris,172,28.29053001,-113.11295,696.8361816,BAJA,FW537_BAJA,1,North,NORTH,1,BAJA
FW538_petiolaris,172,28.29053001,-113.11295,696.8361816,BAJA,FW538_BAJA,1,North,NORTH,1,BAJA
FW539_petiolaris,201,25.37727904,-111.315424,288.403381,BAJA,FW539_BAJA,1,North,NORTH,1,BAJA
FW540_petiolaris,201,25.37727904,-111.315424,288.403381,BAJA,FW540_BAJA,1,North,NORTH,1,BAJA
FW541_petiolaris,215,20.75496797,-103.320472,1413.930542,JAL,FW541_JAL,1,Occidental,OCCIDENTAL,1,JAL
FW542_petiolaris,215,20.75496797,-103.320472,1413.930542,JAL,FW542_JAL,1,Occidental,OCCIDENTAL,1,JAL
P268_petiolaris,100,28.00606004,-111.04223,84.48095703,SON,P268_SON,1,North,NORTH,1,SON_COS
P269_petiolaris,100,28.00606004,-111.04223,84.48095703,SON,P269_SON,1,North,NORTH,1,SON_COS
P270_petiolaris,100,28.00606004,-111.04223,84.48095703,SON,P270_SON,1,North,NORTH,1,SON_COS
P271_petiolaris,100,28.00606004,-111.04223,84.48095703,SON,P271_SON,1,North,NORTH,1,SON_COS
P272_petiolaris,100,28.00606004,-111.04223,84.48095703,SON,P272_SON,1,North,NORTH,1,SON_COS
P273_petiolaris,214,16.633151,-96.05944301,804.797729,OAX,P273_OAX,1,South,SOUTH,1,OAX
P276_petiolaris,100T,27.94120599,-111.084627,33.28154,SON,P276_SON,1,North,NORTH,1,SON_COS
P277_petiolaris,217,21.31892798,-103.148422,1271.275391,ZAC,P277_ZAC,1,Occidental,OCCIDENTAL,1,ZAC
P302_petiolaris,36,28.895227,-112.006584,192.243301,SON,P302_SON,1,North,NORTH,1,SON_COS
P303_petiolaris,36,28.895227,-112.006584,192.243301,SON,P303_SON,1,North,NORTH,1,SON_COS
P304_petiolaris,36,28.895227,-112.006584,192.243301,SON,P304_SON,1,North,NORTH,1,SON_COS
P305_petiolaris,36,28.895227,-112.006584,192.243301,SON,P305_SON,1,North,NORTH,1,SON_COS
P306_petiolaris,36,28.895227,-112.006584,192.243301,SON,P306_SON,1,North,NORTH,1,SON_COS
P307_petiolaris,103,26.94180803,-108.88808,253.522873,SON,P307_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P308_petiolaris,103,26.94180803,-108.88808,253.522873,SON,P308_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P309_petiolaris,103,26.94180803,-108.88808,253.522873,SON,P309_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P311_petiolaris,104,27.08340604,-109.682252,52.441616,SON,P311_SON,1,North,NORTH,1,SON_COS
P312_petiolaris,104,27.08340604,-109.682252,52.441616,SON,P312_SON,1,North,NORTH,1,SON_COS
P313_petiolaris,104,27.08340604,-109.682252,52.441616,SON,P313_SON,1,North,NORTH,1,SON_COS
P314_petiolaris,104,27.08340604,-109.682252,52.441616,SON,P314_SON,1,North,NORTH,1,SON_COS
P315_petiolaris,106,29.47433897,-110.256866,423.445282,SON,P315_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P316_petiolaris,106,29.47433897,-110.256866,423.445282,SON,P316_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P317_petiolaris,106,29.47433897,-110.256866,423.445282,SON,P317_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P318_petiolaris,106,29.47433897,-110.256866,423.445282,SON,P318_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P319_petiolaris,106,29.47433897,-110.256866,423.445282,SON,P319_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P320_petiolaris,107,28.58991198,-109.557707,224.028458,SON,P320_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P321_petiolaris,107,28.58991198,-109.557707,224.028458,SON,P321_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P322_petiolaris,107,28.58991198,-109.557707,224.028458,SON,P322_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P323_petiolaris,107,28.58991198,-109.557707,224.028458,SON,P323_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P324_petiolaris,107,28.58991198,-109.557707,224.028458,SON,P324_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P325_petiolaris,108,28.07263901,-109.320432,574.10791,SON,P325_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P326_petiolaris,108,28.07263901,-109.320432,574.10791,SON,P326_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P327_petiolaris,108,28.07263901,-109.320432,574.10791,SON,P327_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P328_petiolaris,108,28.07263901,-109.320432,574.10791,SON,P328_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P329_petiolaris,220,18.91517501,-99.208432,1457.033447,MOR,P329_MOR,1,South,SOUTH,1,MOR
P330_petiolaris,221,17.68725897,-97.941896,1341.196533,OAX,P330_OAX,1,South,SOUTH,1,OAX_NOR
P331_petiolaris,221,17.68725897,-97.941896,1341.196533,OAX,P331_OAX,1,South,SOUTH,1,OAX_NOR
P332_petiolaris,221,17.68725897,-97.941896,1341.196533,OAX,P332_OAX,1,South,SOUTH,1,OAX_NOR
P333_petiolaris,222,16.67924903,-96.55636104,1745.71167,OAX,P333_OAX,1,South,SOUTH,1,OAX
P334_petiolaris,222,16.67924903,-96.55636104,1745.71167,OAX,P334_OAX,1,South,SOUTH,1,OAX
P335_petiolaris,222,16.67924903,-96.55636104,1745.71167,OAX,P335_OAX,1,South,SOUTH,1,OAX
P336_petiolaris,222,16.67924903,-96.55636104,1745.71167,OAX,P336_OAX,1,South,SOUTH,1,OAX
P337_petiolaris,222,16.67924903,-96.55636104,1745.71167,OAX,P337_OAX,1,South,SOUTH,1,OAX
P338_petiolaris,218,19.48763503,-103.460984,1055.322021,JAL,P338_JAL,1,Occidental,OCCIDENTAL,1,JAL
P339_petiolaris,218,19.48763503,-103.460984,1055.322021,JAL,P339_JAL,1,Occidental,OCCIDENTAL,1,JAL
P340_petiolaris,218,19.48763503,-103.460984,1055.322021,JAL,P340_JAL,1,Occidental,OCCIDENTAL,1,JAL
P341_petiolaris,218,19.48763503,-103.460984,1055.322021,JAL,P341_JAL,0,Occidental,OCCIDENTAL,0,JAL
P342_petiolaris,218,19.48763503,-103.460984,1055.322021,JAL,P342_JAL,1,Occidental,OCCIDENTAL,1,JAL
P343_petiolaris,219,18.67604401,-98.77136604,1367.517212,MOR,P343_MOR,1,South,SOUTH,1,MOR
P344_petiolaris,219,18.67604401,-98.77136604,1367.517212,MOR,P344_MOR,1,South,SOUTH,1,MOR
P345_petiolaris,219,18.67604401,-98.77136604,1367.517212,MOR,P345_MOR,1,South,SOUTH,1,MOR
P346_petiolaris,219,18.67604401,-98.77136604,1367.517212,MOR,P346_MOR,1,South,SOUTH,1,MOR
P347_petiolaris,219,18.67604401,-98.77136604,1367.517212,MOR,P347_MOR,1,South,SOUTH,1,MOR
P348_petiolaris,226,23.17888202,-106.426364,101.443932,SINA,P348_SINA,1,North,OCCIDENTAL,1,SINA_COS
P349_petiolaris,226,23.17888202,-106.426364,101.443932,SINA,P349_SINA,1,North,OCCIDENTAL,1,SINA_COS
P350_petiolaris,226,23.17888202,-106.426364,101.443932,SINA,P350_SINA,1,North,OCCIDENTAL,1,SINA_COS
P351_petiolaris,226,23.17888202,-106.426364,101.443932,SINA,P351_SINA,1,North,OCCIDENTAL,1,SINA_COS
P352_petiolaris,226,23.17888202,-106.426364,101.443932,SINA,P352_SINA,1,North,OCCIDENTAL,1,SINA_COS
P354_petiolaris,229,24.16039702,-106.748765,181.487625,SINA,P354_SINA,1,North,OCCIDENTAL,1,SINA_IN_LAND
P355_petiolaris,229,24.16039702,-106.748765,181.487625,SINA,P355_SINA,1,North,OCCIDENTAL,1,SINA_IN_LAND
P356_petiolaris,228,23.61377698,-106.332876,146.354462,SINA,P356_SINA,1,North,OCCIDENTAL,1,SINA_IN_LAND
P357_petiolaris,230,25.58337201,-109.113274,5.008642,SINA,P357_SINA,1,North,OCCIDENTAL,1,SINA_COS
P358_petiolaris,230,25.58337201,-109.113274,5.008642,SINA,P358_SINA,1,North,OCCIDENTAL,1,SINA_COS
P359_petiolaris,230,25.58337201,-109.113274,5.008642,SINA,P359_SINA,1,North,OCCIDENTAL,1,SINA_COS
P360_petiolaris,230,25.58337201,-109.113274,5.008642,SINA,P360_SINA,1,North,OCCIDENTAL,1,SINA_COS
P361_petiolaris,230,25.58337201,-109.113274,5.008642,SINA,P361_SINA,1,North,OCCIDENTAL,1,SINA_COS
P362_petiolaris,231,26.024239,-109.035693,98.014801,SINA,P362_SINA,1,North,NORTH,1,SINA_COS
P363_petiolaris,231,26.024239,-109.035693,98.014801,SINA,P363_SINA,1,North,NORTH,1,SINA_COS
P364_petiolaris,231,26.024239,-109.035693,98.014801,SINA,P364_SINA,1,North,NORTH,1,SINA_COS
P365_petiolaris,104,27.08340604,-109.682252,52.441616,SON,P365_SON,1,North,NORTH,1,SON_COS
P458_1_petiolaris,108,28.07263901,-109.320432,574.10791,SON,P458A_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P458_2_petiolaris,108,28.07263901,-109.320432,574.10791,SON,P458B_SON,1,North,OCCIDENTAL,1,SON_IN_LAND
P462_petiolaris,222,16.67924903,-96.55636104,1745.71167,OAX,P462_OAX,1,South,SOUTH,1,OAX
P463_petiolaris,218,19.48763503,-103.460984,1055.322021,JAL,P463_JAL,1,Occidental,OCCIDENTAL,1,JAL
P467_petiolaris,104,27.08340604,-109.682252,52.441616,SON,P467_SON,1,North,NORTH,1,SON_COS
P468_petiolaris,104,27.08340604,-109.682252,52.441616,SON,P468_SON,1,North,NORTH,1,SON_COS
